Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Li 2022,LI22_EA_vs_SHAM_REMI_FIXED,Preoperative electroacupuncture,Sham electroacupuncture,Intraoperative opioid,Fixed-rate intraoperative remifentanil exposure,Intraoperative,Mean/SD,40,40,39,40,2009,143.2,,,,,1989,158.7,,,,,µg remifentanil,0.555,Yes,No,MD,20,No,No,Target F exposure-only; do not pool with titrated opioid requirement,No,Remifentanil fixed at 0.3 µg/kg/min; difference reflects exposure duration/body size rather than titration.,Intraoperative remifentanil total,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-exposure-001,F-exposure,F_intraop_fixed_or_unclear_exposure,NORMALIZED_V22,0,0,—,,DO NOT POOL with titrated,2009±143.2 vs1989±158.7 μg; P=0.555
Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_REMI_FIXED,Preoperative TEAS,Electrodes/no-current sham,Intraoperative opioid,Fixed-target intraoperative remifentanil exposure,Intraoperative,Mean/SD,30,30,29,30,1691,37,,,,,1718,43,,,,,µg remifentanil,0.461,Yes,No,MD,-27,No,No,Target F exposure-only; do not pool with titrated opioid requirement,No,Remifentanil maintained at fixed target 5.0 ng/mL; one TEAS participant excluded.,Intraoperative remifentanil exposure,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-exposure-002,F-exposure,F_intraop_fixed_or_unclear_exposure,NORMALIZED_V22,0,0,Some concerns,,DO NOT POOL with titrated,1691±37 vs1718±43 μg; P=0.461
Xie 2014,XIE14_EAS_vs_SHAM_REMI,Active EAS PC4/PC6,Sham needling PC4/PC6,Intraoperative opioid,Intraoperative remifentanil exposure,Intraoperative,Mean/SD,20,20,20,20,1.89,0.63,,,,,1.9,0.59,,,,,mg remifentanil,NR; stated non-significant,Yes,No,MD,-0.01,No,No,Target F exposure-only / separate from postoperative opioid signal,Yes,Three-arm trial; exact within-range titration algorithm and anesthesiologist masking not reported.,Table 1 / intraoperative remifentanil,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-exposure-003,F-exposure,F_intraop_fixed_or_unclear_exposure,NORMALIZED_V22,0,1,Some concerns,P1,,1.89±0.63 vs1.90±0.59 mg
Yao 2015,YAO15_TEAS_vs_CONTROL_RESCUECOUNT24,Preoperative TEAS,Control/no current,Rescue opioid use,Cumulative rescue sufentanil administrations,0-24 h,Median/IQR,37,37,35,36,,,1,1,3,,,,3.5,2,7.8,,administrations,0.004 in Table 3; 0.04 in prose,Yes,No,,,No,No,Target F rescue-opioid count; P1 publication discrepancy,No,VAS≥4 -> sufentanil 0.05 µg/kg IV. Preserve unresolved P-value discrepancy.,Table 3 / cumulative rescue analgesia administrations,https://drive.google.com/file/d/1OhcqPgP7chnaiBaZBPBAy4PQlSFMelfh/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / P1 P-VALUE HOLD,F-rescue-opioid-001,F-rescue-opioid,F_rescue_opioid,NORMALIZED_V22,0,0,Some concerns,P1,UNRESOLVED P-value,1 (1–3) vs3.5 (2–7.8)
Chen 2015,CHEN15Q_TEAS_vs_CTRL_RESCUECOUNT24,Preoperative TEAS,Electrodes/device with no stimulation,Rescue opioid use,Cumulative rescue morphine administrations,0-24 h,Median/IQR,42,42,41,42,,,1,1,3,,,,3.5,2,7,,administrations of 2-mg IV morphine,0.004,Yes,No,,,No,No,Target F rescue-opioid count,No,Source reports count; exact pre-dose VAS trigger not separately stated. Existing v20 converted-dose row is retained separately.,24-h rescue-morphine result,https://drive.google.com/file/d/1ZtE8GImDcpDJH1tOvzqazoh_S4Gd67oH/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-rescue-opioid-003,F-rescue-opioid,F_rescue_opioid,NORMALIZED_V22,1,0,Some concerns,,,1 (1–3) vs3.5 (2–7); P=0.004
Xie 2014,XIE14_EAS_vs_SHAM_DEZOCINE48,Active EAS PC4/PC6,Sham needling PC4/PC6,Rescue opioid use,Participants receiving rescue dezocine,Through postoperative 48 h,Events/total,20,20,20,20,,,,,,1,,,,,,6,participants,<0.05; exact pairwise P NR,Percentages directly reported; event counts reconstructed,Yes — counts derived from 5% and 30% with n=20/group,RR,0.16666666666666669,No,No,Target F binary rescue-opioid-like outcome,Yes,Dezocine 5 mg IV at patient request; counts are derived from reported percentages.,Table 2 / rescue-dezocine rates,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-rescue-opioid-004,F-rescue-opioid,F_rescue_opioid,NORMALIZED_V22,1,0,Some concerns,P1,,5% vs30% (derived 1/20 vs6/20)
Yu 2020,YU20_TEAS_vs_CONTROL_RESCUE24,Preoperative TEAS,Control/no current,Rescue opioid use,Participants requiring rescue sufentanil,0-24 h,Events/total,30,30,30,30,,,,,,13,,,,,,24,participants,<0.01,Yes,No,RR,0.5416666666666666,No,No,Target F binary rescue-opioid outcome,No,Rescue sufentanil dose and exact trigger not reported; registration retrospective.,24-h rescue-sufentanil result,https://drive.google.com/file/d/1fXpHc9FzhpPCkXto8c5lfcLoA3ROdOEz/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-rescue-opioid-006,F-rescue-opioid,F_rescue_opioid,NORMALIZED_V22,1,0,Some concerns,,,13/30 vs24/30; P<0.01
Li 2022,LI22_EA_vs_SHAM_RESCUEFLURB48,Preoperative electroacupuncture,Sham electroacupuncture,Rescue analgesia,Participants receiving rescue flurbiprofen,0-48 h,Events/total,40,40,39,40,,,,,,0,,,,,,0,participants,Not estimable; double-zero,Yes,No,RR,,No,No,Target F non-opioid rescue evidence map only,No,Flurbiprofen 50 mg rescue; exact trigger/threshold not reported. Double-zero event.,Postoperative rescue-analgesia result,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-rescue-nonopioid-001,F-rescue-nonopioid,F_rescue_nonopioid,NORMALIZED_V22,0,0,—,,,0/39 vs0/40
Lu 2021,LU21_COMB_vs_SHAM_PARECOX24,Combined PC6+CV17 TEAS,Sham/no current,Rescue analgesia,Participants receiving rescue parecoxib,By 24 h,Events/total,190,188,190,188,,,,,,4,,,,,,7,participants,0.35 in Table 3; 0.58 in prose,Yes,No,RR,0.5654135338345865,No,No,Target F non-opioid rescue; P1 publication discrepancy,Yes,NRS>4 -> parecoxib sodium 40 mg. Preserve P-value inconsistency.,Table 3 / rescue analgesia,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / P1 P-VALUE HOLD,F-rescue-nonopioid-004,F-rescue-nonopioid,F_rescue_nonopioid,NORMALIZED_V22,0,0,Some concerns,P1,UNRESOLVED P-value,4/190 vs7/188
Wu 2025,WU25_TEAS_vs_SHAM_RESCUE_PARACET24,PACU TEAS,Sham/no current,Rescue analgesia,Compound paracetamol rescue-use metric,Initial 24 h,Mean/SD,50,50,50,50,0.3,0.5,,,,,0.8,0.9,,,,,published rescue-use metric; unit not clearly specified,0.001,Yes,No,MD,-0.5,No,No,Target F medication-specific descriptive result only; do not collapse to opioid MME,No,VAS>4 triggered additional analgesia; rule for choosing among the three drugs and table units are unclear.,Table 2 / postoperative rescue medication use,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / UNIT-QC,F-mixed/undefined-003,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,1,Some concerns,,,Medication-specific rows
Wu 2025,WU25_TEAS_vs_SHAM_RESCUE_OXYAPAP24,PACU TEAS,Sham/no current,Rescue analgesia,Oxycodone + acetaminophen rescue-use metric,Initial 24 h,Mean/SD,50,50,50,50,0.3,0.5,,,,,0.3,0.6,,,,,published rescue-use metric; unit not clearly specified,0.864,Yes,No,MD,0,No,No,Target F medication-specific descriptive result only; do not collapse to opioid MME,No,VAS>4 triggered additional analgesia; rule for choosing among the three drugs and table units are unclear.,Table 2 / postoperative rescue medication use,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / UNIT-QC,F-mixed/undefined-003,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,1,Some concerns,,,Medication-specific rows
Wu 2025,WU25_TEAS_vs_SHAM_RESCUE_PARECOX24,PACU TEAS,Sham/no current,Rescue analgesia,Parecoxib sodium rescue-use metric,Initial 24 h,Mean/SD,50,50,50,50,4.8,13.1,,,,,11.2,18.1,,,,,published rescue-use metric; unit not clearly specified,0.046,Yes,No,MD,-6.3999999999999995,No,No,Target F medication-specific descriptive result only; do not collapse to opioid MME,No,VAS>4 triggered additional analgesia; rule for choosing among the three drugs and table units are unclear.,Table 2 / postoperative rescue medication use,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / UNIT-QC,F-mixed/undefined-003,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,1,Some concerns,,,Medication-specific rows
Liang 2021,LIANG21_TEAS_vs_CTRL_EXTRAANALG,Preoperative TEAS,Control/no stimulation,Rescue analgesia,Published 'extra analgesia' metric,Not reported,Unresolved reported metric,37,38,35,35,,,,,,,,,,,,,unresolved,0.045,"Yes — source reports 3.8 (1.9) vs 5.0 (2.9), but metric/unit are undefined",No,,,No,No,Exclude quantitative synthesis pending author clarification,No,"Source calls this 'number of patients' despite non-integer 3.8(1.9) vs5.0(2.9); drug, unit, trigger and time window not reported.",Table 4 / extra analgesia,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / P1 UNRESOLVED,F-mixed/undefined-004,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,0,—,P1,EXCLUDE unresolved,3.8(1.9) vs5.0(2.9); P=0.045
Yang 2020,YANG20_EA_vs_UC_BUCINNAZINE,EA + usual care,Usual care,Rescue analgesia,Participants receiving rescue bucinnazine,Postoperative; exact cumulative window not reported,Events/total,30,29,29,28,,,,,,5,,,,,,7,participants,0.473,Yes,No,RR,0.6896551724137931,No,No,Target F rescue evidence map; no fixed-time pool,No,VAS>3/10 -> bucinnazine100 mg IM; exact cumulative observation window not reported.,Table 3 / rescue medication,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / WINDOW-QC,F-mixed/undefined-005,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,0,Some concerns,P2,UNRESOLVED window,Bucinnazine 5/29 vs7/28; P=0.473
Yang 2024,YANG24_EA_vs_UC_BUCINNAZINE,Perioperative EA + usual care,Usual care,Rescue analgesia,Participants receiving rescue bucinnazine,Postoperative; exact cumulative window not reported,Events/total,90,90,90,90,,,,,,48,,,,,,64,participants,0.014,Yes,No,RR,0.75,No,No,Target F rescue evidence map; no fixed-time pool,No,VAS≥4 or patient request -> bucinnazine100 mg IM; exact cumulative observation window not reported.,Table 2 / rescue medication,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / WINDOW-QC,F-mixed/undefined-006,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,0,Some concerns,P2,UNRESOLVED window,Bucinnazine 48/90 vs64/90; P=0.014
Chen 2020,CHEN20_TEAS_vs_SHAM_PCAATT48,Perioperative TEAS,Sham low/zero-current protocol,Opioid demand,Total PCIA attempts over 48-h course,0-48 h,Mean/SD,40,40,40,40,4.83,1.06,,,,,14.05,2.01,,,,,pump attempts,<0.001,Yes,No,MD,-9.22,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,No,"Patient-generated behavior; active stimulation above sensory threshold, sham below threshold.",Secondary endpoints / 48-h PCIA attempts,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-001,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,,,4.83±1.06 /4.58±0.93 vs14.05±2.01 /7.48±1.18
Chen 2020,CHEN20_TEAS_vs_SHAM_PCAEFF48,Perioperative TEAS,Sham low/zero-current protocol,Opioid demand,Effective PCIA attempts over 48-h course,0-48 h,Mean/SD,40,40,40,40,4.58,0.93,,,,,7.48,1.18,,,,,pump attempts,<0.001,Yes,No,MD,-2.9000000000000004,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,No,"Patient-generated behavior; active stimulation above sensory threshold, sham below threshold.",Secondary endpoints / 48-h PCIA attempts,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-001,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,,,4.83±1.06 /4.58±0.93 vs14.05±2.01 /7.48±1.18
Lee 2011,LEE11_LOW_vs_SHAM_PCADEMAND24,Low-frequency dense-sparse SSP,Sham SSP,Opioid demand,Total PCA demands,0-24 h,Mean/SD,12,12,10,12,41.6,36.47,,,,,74.18,39.33,,,,,PCA demands,Direct active-vs-sham pairwise P not reported,Yes,No,MD,-32.580000000000005,No,No,Target F exploratory PCA-behavior outcome,Yes,Four-arm study; preserve shared sham control. Two low-frequency participants excluded.,PCA-demand table / total 24-h demands,https://drive.google.com/file/d/1kQDSBtx3OpFOsim5oUMwhpfHOqaMy8Q9/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-PCA-008,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,Some concerns,P2,,Sham74.18±39.33; high52.17±21.87; low41.60±36.47
Lee 2011,LEE11_HIGH_vs_SHAM_PCADEMAND24,100-Hz SSP,Sham SSP,Opioid demand,Total PCA demands,0-24 h,Mean/SD,12,12,12,12,52.17,21.87,,,,,74.18,39.33,,,,,PCA demands,Direct active-vs-sham pairwise P not reported,Yes,No,MD,-22.010000000000005,No,No,Target F exploratory PCA-behavior outcome,Yes,Four-arm study; preserve shared sham control. Two low-frequency participants excluded.,PCA-demand table / total 24-h demands,https://drive.google.com/file/d/1kQDSBtx3OpFOsim5oUMwhpfHOqaMy8Q9/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-PCA-008,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,Some concerns,P2,,Sham74.18±39.33; high52.17±21.87; low41.60±36.47
Yeh 2010,YEH10_AES_vs_SHAM_PCAPUSH24,True-acupoint AES,Electrical sham/nonmeridian AES,Opioid demand,PCA button pushes,0-24 h,Mean/SD,,,33,30,25.3,28.5,,,,,47.4,39.7,,,,,button pushes,Direct AES-vs-sham pairwise P not reported,Yes,No,MD,-22.1,No,No,Hold pending Yeh 2010/2011 overlap adjudication,Yes,Potential overlapping publication family with Yeh2011; do not count both independently.,Table 4 / PCA button pushes,https://drive.google.com/file/d/1a1s31PQPWGnaVkYUtNUxO22F3QFTcwmi/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / DUPLICATE-OVERLAP HOLD,F-PCA-010,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,0,Some concerns,P1,HOLD overlap review,True25.3±28.5 vs sham47.4±39.7
Lin 2002,LIN02_HIGH_vs_SHAM_PCADEMAND24,100-Hz EA,Sham EA,Opioid demand,Total PCA demands,Postoperative hour1 through hour24,Mean/SD,25,25,25,25,7.9,5.9,,,,,16.1,7.4,,,,,PCA demands,Pairwise P not reported,Yes,No,MD,-8.200000000000001,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,Yes,Active electrical stimulation vs no-current sham may unmask patient-generated PCA behavior.,Table 2 / 24-h PCA demand totals,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-011,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,,,Sham16.1±7.4; low11.7±7.1; high7.9±5.9
Lin 2002,LIN02_LOW_vs_SHAM_PCADEMAND24,2-Hz EA,Sham EA,Opioid demand,Total PCA demands,Postoperative hour1 through hour24,Mean/SD,25,25,25,25,11.7,7.1,,,,,16.1,7.4,,,,,PCA demands,Pairwise P not reported,Yes,No,MD,-4.400000000000002,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,Yes,Active electrical stimulation vs no-current sham may unmask patient-generated PCA behavior.,Table 2 / 24-h PCA demand totals,https://drive.google.com/file/d/1Q5dNOPkf4PB_ctbHu1_3v3UIMIJzKRw9/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-011,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,,,Sham16.1±7.4; low11.7±7.1; high7.9±5.9
Yeh 2011,YEH11_AES_vs_SHAM_PCAPUSH24,True-acupoint AES,Electrical sham/nonacupoint AES,Opioid demand,PCA button pushes,0-24 h,Mean/SD,30,30,30,30,24.9,28.5,,,,,47.4,39.7,,,,,button pushes,Direct AES-vs-sham pairwise P not reported,Yes,No,MD,-22.5,No,No,Hold pending Yeh 2010/2011 overlap adjudication,Yes,Potential overlapping publication family with Yeh2010; do not count both independently.,Table 3 / PCA button pushes,https://drive.google.com/file/d/1ZJ60ZvJ5Q7sRu1iptK_tLLfBXxZZ_Hwl/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / DUPLICATE-OVERLAP HOLD,F-PCA-012,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,0,Some concerns,P1,HOLD — potential overlap,AES24.9±28.5 vs sham47.4±39.7 vs control76.9±86.1
Zhou 2021,ZHOU21_TEAS_vs_UC_MME_POSTOP,Postoperative TEAS + ERAS,ERAS/usual care,Opioid consumption,Author-defined postoperative morphine-equivalent dose,Postoperative study period; exact cumulative window not reported,Mean/SD,41,41,41,40,8.935,3.66,,,,,12.83,8.097,,,,,mg morphine-equivalent (author-defined),0.182,Yes,No,MD,-3.8949999999999996,No,No,Exclude fixed 24/48/72-h pools pending time-window/conversion clarification,No,Methods vs Table3 footnote use inconsistent pentazocine conversion; exact postoperative cumulative window unclear.,Table 3 / analgesic consumption,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / P1 WINDOW+CONVERSION HOLD,F-mixed/undefined-007,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,0,High,P1,EXCLUDE fixed-time pools,Opioid use18/41 vs30/40; MME8.935±3.660 vs12.83±8.097 mg
He 2026 (hepatectomy/JIS),HEJIS26_TEAS_vs_CTRL_PCADELIV24,Intraoperative PC6 TEAS,No-current PC6 control,Opioid demand,Effective PCA deliveries,24 h,Mean/SD,81,80,80,79,2.6,3.3,,,,,3.5,6,,,,,effective deliveries,0.02,Yes,No,MD,-0.9,No,No,Target F exploratory PCA-use outcome,No,PCA contains sufentanil + oxycodone; delivery count is not a single-opioid dose. 48-h counters remain P1 unresolved.,Supplemental/secondary outcome / 24-h effective deliveries,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED,F-PCA-002,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,Some concerns,P1,,2.7±3.3 /2.6±3.3 vs3.5±6.1 /3.5±6.0
Lu 2022,LU22_TEAS_vs_CTRL_PCAATTEMPT48,TEAS + ERAS,No-current control + ERAS,Opioid demand,PCA attempts,48 h,Median/IQR,50,50,47,47,,,13,5,22,,,,26,11.5,45.5,,attempts,0.002,Yes,No,,,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,No,"Patient blinding difficult; PCA drug/concentration/settings not reported, so do not convert to opioid dose.",PCA table / 48 h pca attempts,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-009,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,P2,,24h attempts8.0 vs16.5; deliveries5.0 vs12.0
Lu 2022,LU22_TEAS_vs_CTRL_PCADELIV48,TEAS + ERAS,No-current control + ERAS,Opioid demand,Successful PCA deliveries,48 h,Median/IQR,50,50,47,47,,,7,3,14,,,,16.5,8,35,,deliveries,0.001,Yes,No,,,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,No,"Patient blinding difficult; PCA drug/concentration/settings not reported, so do not convert to opioid dose.",PCA table / 48 h successful pca deliveries,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-009,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,P2,,24h attempts8.0 vs16.5; deliveries5.0 vs12.0
Lu 2022,LU22_TEAS_vs_CTRL_PCAATTEMPT72,TEAS + ERAS,No-current control + ERAS,Opioid demand,PCA attempts,72 h,Median/IQR,50,50,47,47,,,13,5,24,,,,24.5,13,46,,attempts,0.002,Yes,No,,,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,No,"Patient blinding difficult; PCA drug/concentration/settings not reported, so do not convert to opioid dose.",PCA table / 72 h pca attempts,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-009,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,P2,,24h attempts8.0 vs16.5; deliveries5.0 vs12.0
Lu 2022,LU22_TEAS_vs_CTRL_PCADELIV72,TEAS + ERAS,No-current control + ERAS,Opioid demand,Successful PCA deliveries,72 h,Median/IQR,50,50,47,47,,,7,3,20,,,,16.5,10,36,,deliveries,0.003,Yes,No,,,No,No,Target F exploratory PCA-behavior outcome; High result-specific RoB,No,"Patient blinding difficult; PCA drug/concentration/settings not reported, so do not convert to opioid dose.",PCA table / 72 h successful pca deliveries,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,F-PCA-009,F-PCA,F_PCA_behavior,NORMALIZED_V22,0,1,High,P2,,24h attempts8.0 vs16.5; deliveries5.0 vs12.0
Wu 2016,WU16_TAES_vs_ACTIVE_OPIOID24,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),Opioid consumption,Exact cumulative postoperative opioid/tramadol consumption,0-24 h,Not reported,30,30,27,27,,,,,,,,,,,,,mg tramadol (IV rescue),,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,Yes,"IV tramadol 100 mg was available as rescue, but group-specific cumulative dose/number of rescues for 0-24 h is not reported.",Pain measurement / rescue analgesia methods and results,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,MISSING / EXACT RESCUE DOSES NOT REPORTED,,,,SOURCE_DIRECT_V26_WU2016,0,0,,,"IV tramadol 100 mg was available as rescue, but group-specific cumulative dose/number of rescues for 0-24 h is not reported.",Exact cumulative 0-24-h tramadol/opioid consumption is not reported.
