"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"305","1100","The effect of Transcutaneous acupoint electrical stimulation in patients with supratentorial craniotomy tumor resection on the incidence of postoperative delirium","ChiCTR-IOR-17014066","2017","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-IOR-17014066 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS in craniotomy","No stimulation","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:34.124Z","none","ChiCTR-IOR-17014066."
"306","1102","Randomized controlled trial of TEAS with different acupoints combination on opioids consumption in patients undergoing off-pump coronary artery bypass grafting","Zhang","2016","English","yes","Yes","INCLUDE_CLEAR","Prospective double-blind randomized OP-CABG trial compared two TEAS acupoint combinations with non-acupoint control and reported intraoperative sufentanil consumption and clinical outcomes.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TEAS at LI4/CV17 or CV17/CV14","Non-acupoint stimulation control","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:34.821Z","none",""
"307","1105","Acupoint Stimulation and Cranial Endovascular Treatment","NCT05413460","2022","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT05413460 is a prospective trial registration written in future tense without results.","Trial registration without results; endovascular procedure is also non-operative.","high","trial_registration","no","unclear","yes","TEAS","No intervention","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:35.700Z","none","NCT05413460."
"308","1106","Acupoint Stimulation and Postoperative Sleep in Elderly Patients","NCT06684236","2024","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT06684236 is a trial registration without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS after general anaesthesia","Unclear","unclear","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:36.591Z","none","NCT06684236."
"309","1107","Effect of percutaneous acupoint electrical stimulation on gastrointestinal function and pain management after laparoscopictotal hysterectomy","Wu","2024","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","Conference results compare perioperative TEAS with no TEAS in 120 laparoscopic hysterectomy patients and report GI recovery, PONV and pain, but allocation and general anaesthesia are not stated.","A realistic eligible randomized general-anaesthesia trial requires full-report confirmation.","low","conference_abstract","yes","unclear","unclear","Pre-, intra- and postoperative TEAS","No TEAS","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:37.476Z","none","DOI 10.1136/rapm-2024-ESRA.220."
"310","1110","Transcutaneous electrical acupoint stimulation reduces postoperative nausea and vomiting by regulating intestinal flora and improving 5-hydroxytryptamine levels","ChiCTR2300077115","2023","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2300077115 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","Perioperative TEAS regimens","No TEAS","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:38.160Z","none","ChiCTR2300077115."
"311","1113","Clinical Study on Acupoint Stimulation for Prevention and Treatment of Postoperative Acute Renal Injury in Patients with diabetes","ChiCTR2500097640","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500097640 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS","No stimulation","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:41.287Z","none","ChiCTR2500097640."
"312","1114","EFFICACY OF TRANSCUTANEOUS ELECTRICAL ACUPOINT STIMULATION COMBINED WITH GENERAL ANESTHESIA FOR POSTOPERATIVE ANALGESIA AND SEDATION IN LUNG CANCER PATIENTS UNDERGOING THORACOSCOPIC RADICAL RESECTION OF PULMONARY CARCINOMA: a prospective randomized doubl","ChiCTR1800016067","2018","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR1800016067 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS plus general anaesthesia","Sham TEAS","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:44.426Z","none","ChiCTR1800016067."
"313","1115","Pain relief during oocyte retrieval by transcutaneous electrical acupoint stimulation: a single blind randomized controlled multi-centered trial","Sun","2017","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","The randomized trial concerns transvaginal oocyte aspiration using conventional analgesia rather than operative surgery under general anaesthesia.","Non-operative retrieval without general anaesthesia.","high","conference_abstract","yes","no","yes","TEAS during oocyte retrieval","Conventional medical analgesia/sham","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:45.110Z","none",""
"314","1116","Pain relief during oocyte retrieval by transcutaneous electrical acupoint stimulation: a single blind randomized controlled multi-centered trial","Sun","2017","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Duplicate conference citation concerns transvaginal oocyte aspiration using analgesia rather than general anaesthesia.","Non-operative retrieval without general anaesthesia.","high","conference_abstract","yes","no","yes","TEAS during oocyte retrieval","Conventional medical analgesia/sham","yes","not_applicable","yes","yes","","yes","no","no","yes","yes","2026-07-26T11:34:45.814Z","none",""
"315","1117","Pulmonary protection of transcutaneous electrical acupoint stimulation in gynecological laparoscopic surgery: a randomized controlled trial","Wei","2020","English","yes","Yes","INCLUDE_CLEAR","Randomized gynecologic laparoscopy trial evaluated TEAS at BL13/LI4/LU5 versus no stimulation, with general anaesthesia strongly indicated by induction and ventilation; postoperative pulmonary complications were reported.","Clear eligible perioperative TEAS RCT.","high","primary_results","yes","yes","yes","TEAS at BL13, LI4 and LU5","No stimulation","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:46.700Z","none","NCT02850471; DOI 10.3892/etm.2019.8245."
"316","1119","Effects of transcutaneous electrical acupoint stimulation (TEAS) on postoperative gastrointestinal function and gut microbiome in patients undergoing spinal surgery","ChiCTR2100051751","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2100051751 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","Postoperative TEAS","Sham-point electrical stimulation","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:34:47.389Z","none","ChiCTR2100051751."
"317","1120","Effects of transcutaneous electrical acupuncture point stimulation on peripheral capillary oxygen saturation in elderly patients undergoing colonoscopy with sedation: a prospective randomized controlled trial","Chen","2021","English","yes","No","EXCLUDE_NON_SURGICAL","The randomized trial involved colonoscopy under sedation, not operative surgery under general anaesthesia.","Non-operative sedated endoscopy.","high","primary_results","yes","no","yes","P6 TEAS","Sham TEAS","yes","not_applicable","yes","yes","","no","yes","no","no","yes","2026-07-26T11:34:50.520Z","none","DOI 10.1177/0964528420960479."
"318","1121","The effect of Transcutaneous Electrical Acupoint Stimulation on delirium in elderly Patients undergoing colorectal surgery","ChiCTR2500095421","2025","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500095421 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS in colorectal surgery","No TEAS","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:34:53.664Z","none","ChiCTR2500095421."
"319","1122","Transcutaneous Acupoint Electrical Stimulation for Postoperative ICNB Syndrome in Breast Cancer: a Randomized Controlled Trial","ITMCTR2024000864","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2024000864 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS for postoperative ICNB syndrome","Sham TEAS","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:34:56.809Z","none","ITMCTR2024000864."
"320","1123","Transcutaneous electrical acupoint stimulation for postoperative urinary retention after anorectal surgery: a randomized controlled trial","ITMCTR2025001795","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025001795 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS for postoperative urinary retention","Sham TEAS and neostigmine","yes","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:34:59.971Z","none","ITMCTR2025001795."
"321","1124","Effects of transcutaneous electrical acupoint stimulation (TEAS) on colonic spasm during colonoscopy: a randomized controlled trial","ChiCTR2500114656","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500114656 is a trial-registration record without results.","Trial registration; colonoscopy is also non-operative.","high","trial_registration","no","no","yes","TEAS during colonoscopy","Control","yes","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:35:53.567Z","none","ChiCTR2500114656."
"322","1125","Mechanism of transcutaneous electrical acupoint stimulation on improving POCD and CCL-2","ChiCTR2200063030","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2200063030 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS for POCD","Unclear","unclear","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:35:56.712Z","none","ChiCTR2200063030."
"323","1126","Therapeutic effect of transcutaneous electrical acupoint stimulation on postoperative nausea and vomiting in bariatric surgery patients","ChiCTR2100044312","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2100044312 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS in bariatric surgery","Unclear","unclear","not_applicable","yes","yes","","yes","no","no","no","yes","2026-07-26T11:35:57.381Z","none","ChiCTR2100044312."
"324","1127","EEG characteristics of transcutaneous electrical acupoint stimulation in the treatment of pain after thoracoscopic lobectomy : a randomized controlled trial","ChiCTR2500107322","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500107322 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","yes","yes","TEAS after thoracoscopic lobectomy","Unclear","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:35:58.245Z","none","ChiCTR2500107322."
