"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"392","507","[Effect of electroacupuncture preconditioning with different frequencies on anal pain after milligan-morgan hemorrhoidectomy].","Long","2019","English","yes","NO","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","All three randomized arms received active EA at different frequencies; there was no sham, usual-care, or no-stimulation comparator.","Active EA-frequency comparison only.","high","journal article; primary participant-results report","yes","5","0","","not reported","yes","EA at three frequencies","other active EA frequencies","active comparator only","yes","yes; 30 minutes before surgery","yes","no","no","yes","2026-07-27T08:51:56.524Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"393","508","[Floating needle therapy for postoperative functional rehabilitation in patients with surgical neck fracture of humerus: a randomized controlled trial].","Ge","2019","English","yes","NO","EXCLUDE_TIMING","Both interventions began on postoperative day 2, clearly later than 24 postoperative hours.","Treatment began postoperative day 2.","high","journal article; primary participant-results report","yes","5","0","","not reported","yes","EA","floating needle therapy","active comparator","yes","no; POD2","yes","no","no","yes","2026-07-27T08:51:59.929Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"394","509","Mechanism of Electroacupuncture on Postoperative Ileus Induced by Surgical Stress in Rats.","Okada","2019","English","yes","NO","EXCLUDE_ANIMAL","The study used conscious male Sprague-Dawley rats after experimental surgery.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","animal groups","EA","animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:52:03.289Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"395","510","Transcutaneous Electrical Stimulation of PC5 and PC6 Acupoints Modulates Autonomic Balance in Heart Transplant Patients: A Pilot Study.","Moreira","2019","English","yes","NO","EXCLUDE_NON_RANDOMIZED","This was a single-arm ambulatory pilot in established heart-transplant recipients, with no randomized comparator and no acute perioperative setting.","Single-arm remote post-transplant study.","high","journal article; primary participant-results report","yes","3","0","","not applicable","no","TEAS","none","no","no comparator","no; ambulatory after transplantation","yes","no","no","yes","2026-07-27T08:52:04.423Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"396","512","Application of electroacupuncture for postoperative pain management after total knee arthroplasty: a study protocol for a single-blinded, randomised placebo-controlled trial.","Zhong","2019","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Explicit pre-results randomized study protocol without participant outcomes.","Protocol without results.","high","study protocol","no","0","0","","not applicable","planned","EA","sham EA","not applicable","not applicable","not applicable","planned only","no","no","yes","2026-07-27T08:52:35.217Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"397","513","[Effects of electroacupuncture on insulin resistance in patients with knee arthroplasty].","Tao","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Knee arthroplasty was performed under explicit combined spinal and epidural anesthesia, not general anesthesia.","No general anesthesia.","high","journal article; primary participant-results report","yes","6","0","","no; combined spinal/epidural","yes","EA","no EA","yes","yes","yes; intraoperative","yes","no","no","yes","2026-07-27T08:52:38.583Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"398","514","[Effect of transcutaneous electrical acupoint stimulation on recovery of gastrointestinal function after cesarean section].","Mu","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Cesarean delivery is normally performed under neuraxial anesthesia, and the abstract does not report general anesthesia.","Cesarean section without reported GA.","high","journal article; primary participant-results report","yes","6","0","","no; not reported and cesarean usually neuraxial","yes","TEAS","routine care","yes","yes","yes; immediately postoperative","yes","no","no","yes","2026-07-27T08:52:39.715Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"399","515","[Effect of preoperative intervention of electroacupuncture at Baliao point on postoperative complications of procedure for prolapsed and hemorrhoids].","Song","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","PPH is a minor anorectal procedure commonly performed with regional/local anesthesia, and no general anesthesia is reported.","Minor procedure without reported GA.","high","journal article; primary participant-results report","yes","6","0","","no; not reported and procedure commonly regional/local","yes","EA","operation only","yes","yes","yes; 30 minutes preoperative","yes","no","no","yes","2026-07-27T08:52:43.051Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"400","516","[Effects of transcutaneous electrical acupoint stimulation on pain of patients in expansion process of skin soft tissue dilator on forehead by water injection].","Huang","2019","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","The intervention accompanied repeated outpatient water injections into a tissue expander, not operative surgery under general anesthesia.","Outpatient procedure without GA surgery.","high","journal article; primary participant-results report","yes","4","0","","no; outpatient injections","yes","TEAS","routine nursing","yes","yes","not operative perioperative","yes","no","no","yes","2026-07-27T08:52:44.151Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"401","518","Contribution of GABAergic modulation in DRGs to electroacupuncture analgesia in incisional neck pain rats.","Qiao","2019","English","yes","NO","EXCLUDE_ANIMAL","The experiment used male Sprague-Dawley rats with incisional neck pain.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rats","EA","animal controls","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:53:32.069Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"402","519","A Randomized, Double-Blind, Sham-Controlled Study Assessing Electroacupuncture for the Management of Postoperative Pain after Percutaneous Nephrolithotomy.","Capodice","2019","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","PCNL patients were randomized to preoperative EA, sham EA, or no acupuncture, but the abstract does not state anesthesia type; general anesthesia remains plausible.","Eligible otherwise; anesthesia type unclear.","high","journal article; primary participant-results report","yes","7","1","general anaesthesia","uncertain; PCNL commonly may use GA","yes","EA","sham EA and no acupuncture","yes","yes","yes; within 1 hour before surgery","yes","no","no","yes","2026-07-27T08:53:33.224Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"403","520","[Effects of electroacupuncture on CYP7A1 expression in liver of rabbits with atherosclerosis].","Zhang","2019","English","yes","NO","EXCLUDE_ANIMAL","The study used rabbits with diet- and surgery-induced atherosclerosis.","Animal study.","high","journal article; animal experiment","yes","0","0","","not applicable","yes; rabbits","EA","animal controls/atorvastatin","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T08:53:36.637Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
